jobtitle,similar_titles
director técnico/directora técnica,"director técnico/directora técnica
directora técnica
director técnico"
operador de máquina perfiladora de metal/operadora de máquina perfiladora de metal,"operador de máquina perfiladora de metal/operadora de máquina perfiladora de metal
operador de máquina perfiladora de metal
trefiladora
operador de máquina trefiladora
operadora de máquina trefiladora
trefilador
operador de máquina trefiladora de metales
operadora de máquina perfiladora de metal
técnico de máquina trefiladora
técnica de máquina trefiladora
operadora de máquina trefiladora de metales"
inspector de dispositivos de precisión/inspectora de dispositivos de precisión,"inspector de dispositivos de precisión/inspectora de dispositivos de precisión
supervisor de calidad de dispositivos de precisión
inspector de dispositivos de precisión
inspectora de control de calidad de dispositivos de precisión
inspector de control de calidad de dispositivos de precisión
inspector de instrumentos de precisión
supervisora de calidad de dispositivos de precisión
inspectora de instrumentos de precisión
inspectora de dispositivos de precisión"
técnico de seguridad aérea/técnica de seguridad aérea,"técnico de seguridad aérea/técnica de seguridad aérea
técnica de seguridad aérea
técnica de seguridad de tráfico aéreo
técnico de seguridad de tráfico aéreo
técnico de seguridad aérea
ingeniero aeronáutico (seguridad aérea)
ingeniera aeronáutica (seguridad aérea)"
gestor de precios/gestora de precios,"gestor de precios/gestora de precios
encargado  del establecimiento de precios
administrador de precios
responsable del establecimiento de precios
encargada del establecimiento de precios
directora de revenue management en hostelería
gestora de precios
gestor de precios
administradora de precios
director de revenue management en hostelería
responsable de precios"
auxiliar de laboratorio de análisis clínicos,"auxiliar de laboratorio de análisis clínicos
ayudante de laboratorio biomédico
auxiliar de laboratorio sanitario
asistente de investigación clínica"
técnico de laboratorio de asfaltos/técnica de laboratorio de asfaltos,"técnico de laboratorio de asfaltos/técnica de laboratorio de asfaltos
técnica de laboratorio de asfaltos
técnico de laboratorio de obra
técnica de laboratorio de suelos (asfalto)
técnica en mecánica de suelos y pavimentos
técnico de laboratorio de asfaltos
técnico de laboratorio de suelos (asfalto)
técnico en mecánica de suelos y pavimentos
técnica de laboratorio de obra
técnica de laboratorio de materiales
técnico de laboratorio de materiales"
asistente en educación primaria,"asistente en educación primaria
auxiliar pedagógico de escuela primaria
auxiliar pedagógica de escuela primaria
ayudante técnica educativa
ayudante técnico educativo"
profesor de teatro en escuela superior de artes escénicas/profesora de teatro en escuela superior de artes escénicas,"profesor de teatro en escuela superior de artes escénicas/profesora de teatro en escuela superior de artes escénicas
profesora de teatro en escuela superior de artes escénicas
profesora de arte dramático en escuela superior de artes escénicas
profesor de arte dramático en escuela superior de artes escénicas
profesor de teatro en escuela superior de artes escénicas"
operario de equipos de hidrogenación/operaria de equipos de hidrogenación,"operario de equipos de hidrogenación/operaria de equipos de hidrogenación
responsable de equipos de hidrogenación
operador de equipos de hidrogenación
operadora de equipos de hidrogenación
encargado de equipos de hidrogenación
encargada de equipos de hidrogenación"
operario de fabricación de pasta/operaria de fabricación de pasta,"operario de fabricación de pasta/operaria de fabricación de pasta
encargada del funcionamiento de la máquina para la fabricación de pasta
operario de la máquina para la fabricación de pasta
encargado del funcionamiento de la máquina para la fabricación de pasta
operaria de la máquina para la fabricación de pasta
responsable del funcionamiento de la máquina para la fabricación de pasta"
gerente de tienda de tabaco,"gerente de tienda de tabaco
responsable de estanco
responsable de tienda de tabaco y artículos de tabaquería
gerente de estanco"
jefe de planificación de mina/jefa de planificación de mina,"jefe de planificación de mina/jefa de planificación de mina
supervisora de mina
supervisor de mina
topógrafo minero
topógrafa minera
jefa de planificación de mina
jefe de planificación de mina"
especialista en seguridad alimentaria,"especialista en seguridad alimentaria
inspector de alimentos
especialista en higiene de los alimentos
inspectora de alimentos"
técnico de mantenimiento de maquinaria agrícola/técnica de mantenimiento de maquinaria agrícola,"técnico de mantenimiento de maquinaria agrícola/técnica de mantenimiento de maquinaria agrícola
técnico especialista en matenimiento de maquinaria agrícola
técnica especializada en el mantenimiento de maquinaria
especialista en mantenimiento de maquinaria agrícola
técnico de mantenimiento de maquinaria agrícola
técnica especialista en matenimiento de maquinaria agrícola
técnica de mantenimiento de maquinaria agrícola
técnico especializado en el mantenimiento de maquinaria"
conductor de autobús/conductora de autobús,"conductor de autobús/conductora de autobús
conductora de autobús urbano
conductora de autobús internacional
conductora de autobús interurbano
conductor de autobús escolar
conductor de autobús turístico
conductor de autobús urbano
conductor de autobús internacional
conductora de autobús escolar
conductor de autobús interurbano
conductor de autobús
conductora de autobús turístico
conductora de autobús"
director de importación y exportación de carne y productos cárnicos/directora de importación y exportación de carne y productos cárnicos,"director de importación y exportación de carne y productos cárnicos/directora de importación y exportación de carne y productos cárnicos
director de importación y exportación de carne y productos cárnicos
directora de importación y exportación de carne y productos cárnicos
responsable de importación y exportación de carne y productos cárnicos"
jefe de cocina/jefa de cocina,"jefe de cocina/jefa de cocina
chef de cocina
cocinera jefe
cocinero jefe
responsable de cocina
jefa de cocina
encargada de la cocina
jefe de cocina
encargado de la cocina"
"operador de máquinas de preparación de fibras, hilado y devanado /operadora de máquinas de preparación de fibras, hilado y devanado","operador de máquinas de preparación de fibras, hilado y devanado /operadora de máquinas de preparación de fibras, hilado y devanado
operadora de máquinas de preparación de fibras, hilado y devanado
operador de máquinas para elaborar filamentos no tejidos
operador de máquinas de preparación de fibras, hilado y devanado
operadora de máquinas para elaborar filamentos no tejidos
operadora de máquinas para fabricar filamentos no tejidos
operador de máquinas para fabricar filamentos no tejidos"
director de instituciones de enseñanza superior/directora de instituciones de enseñanza superior,"director de instituciones de enseñanza superior/directora de instituciones de enseñanza superior
director de instituciones de enseñanza superior
directora de instituciones de enseñanza superior
rector
rectora"
supervisor de instalaciones de aislamiento/supervisora de instalaciones de aislamiento,"supervisor de instalaciones de aislamiento/supervisora de instalaciones de aislamiento
instalador de material aislante
instalador de aislamientos
supervisora de instalaciones de aislamiento
instaladora de aislamientos
instaladora de material aislante
supervisor de instalaciones de aislamiento"
ingeniero especializado en desmantelamiento de equipos industriales y edificios/ingeniera especializada en desmantelamiento de equipos industriales y edificios,"ingeniero especializado en desmantelamiento de equipos industriales y edificios/ingeniera especializada en desmantelamiento de equipos industriales y edificios
ingeniero especializado en desmantelamiento de equipos industriales y edificios
técnico de desmantelamiento de equipos industriales y edificios
técnica de desmantelamiento de equipos industriales y edificios
ingeniera especializada en desmantelamiento de equipos industriales y edificios"
supervisor de seguros/supervisora de seguros,"supervisor de seguros/supervisora de seguros
técnico de indemnizaciones
supervisora de seguros
controladora de indemnizaciones
técnico en seguros
perito de seguros
especialista en gestión de quejas y reclamaciones en seguros
controlador de indemnizaciones
técnica de indemnizaciones
técnica en seguros
perita judicial técnica en seguros, contratos y garantías
perita de seguros
perito judicial técnico en seguros, contratos y garantías
supervisor de seguros"
director de desarrollo de prendas de vestir/directora de desarrollo de prendas de vestir/,"director de desarrollo de prendas de vestir/directora de desarrollo de prendas de vestir/
directora de desarrollo de prendas de vestir/
director de desarrollo de prendas de vestir"
redactor de temas sanitarios/redactora de temas sanitarios,"redactor de temas sanitarios/redactora de temas sanitarios
redactor de temas sanitarios
redactora de temas sanitarios"
operador de separación de nitroglicerina/operadora de separación de nitroglicerina,"operador de separación de nitroglicerina/operadora de separación de nitroglicerina
operador de separación de nitroglicerina
operadora de separación de nitroglicerina"
ingeniero biomédico/ingeniera biomédica,"ingeniero biomédico/ingeniera biomédica
ingeniera biomédica
ingeniero biomédico"
tutor legal/tutora legal,"tutor legal/tutora legal
tutor legal
tutora legal"
tejedor/tejedora,"tejedor/tejedora
tejedora
tejedor"
alicatador/alicatadora,"alicatador/alicatadora
alicatadora
alicatador"
gerente de tienda de calzado y accesorios de piel,"gerente de tienda de calzado y accesorios de piel
gerente de tienda de calzado y accesorios de piel"
director de tour operador/directora de tour operador,"director de tour operador/directora de tour operador
responsable de operadores turísticos
directora de operadores turísticos
gerenta de operadores turísticos
gerente de operadores turísticos
directora de tour operador
director de agencia de viajes mayorista
directora de agencia de viajes mayorista
encargada de operadores turísticos
director de tour operador
director de operadores turísticos
encargado de operadores turísticos"
apicultor/apicultora,"apicultor/apicultora
apicultora
criador de abejas
criadora de abejas
apicultor"
empleado administrativo en el ámbito jurídico-legal/empleada administrativo en el ámbito jurídico-legal,"empleado administrativo en el ámbito jurídico-legal/empleada administrativo en el ámbito jurídico-legal
oficial de notaría
auxiliar administrativa para despacho de abogados
auxiliar administrativo para departamento jurídico
empleado administrativo en el ámbito jurídico-legal
empleada administrativa (experiencia o conocimientos en el ámbito jurídico)
auxiliar administrativo para despacho de abogados
administrativa de notaría
auxiliar administrativa para departamento jurídico
empleada administrativa en el ámbito jurídico-legal
administrativo de notaría
empleado administrativo (experiencia o conocimientos en el ámbito jurídico)"
operador de equipo en estación de bombeo de petróleo/operadora de equipo en estación de bombeo de petróleo,"operador de equipo en estación de bombeo de petróleo/operadora de equipo en estación de bombeo de petróleo
operador de cuadro de control
operador de estación de bombeo
operadora de estación de bombeo
operadora de sala de control
operadora de refinería
operador de refinería
operadora de sistema de bombeo de petróleo
operadora de equipo en estación de bombeo de petróleo
operador de equipo en estación de bombeo de petróleo
operadora de cuadro de control
operador de sala de control
operador de sistema de bombeo de petróleo"
confeccionista de ropa de protección,"confeccionista de ropa de protección
confeccionista de ropa de seguridad"
operador de máquina recubridora de metales/operadora de máquina recubridora de metales,"operador de máquina recubridora de metales/operadora de máquina recubridora de metales
operadora de máquina recubridora de metales
operador de máquina recubridora de metales"
responsable de cultivos acuícolas,"responsable de cultivos acuícolas
directora de criadero acuícola
director de criadero acuícola"
operario especializado en engranajes de automoción/operaria especializada en engranajes de automoción,"operario especializado en engranajes de automoción/operaria especializada en engranajes de automoción
operaria especializada en engranajes de automoción
operario especializado en engranajes de automoción"
director del área de alojamiento/directora del área de alojamiento,"director del área de alojamiento/directora del área de alojamiento
encargada de habitaciones
encargado de habitaciones
responsable de habitaciones
director del área de alojamiento
responsable del departamento de gestión de habitaciones
responsable de la gestión de habitaciones
directora del área de alojamiento"
pintor de cerámicas/pintora de cerámicas,"pintor de cerámicas/pintora de cerámicas
pintor de cerámicas
pintora de cerámicas"
ingeniero de telecomunicaciones/ingeniera de telecomunicaciones,"ingeniero de telecomunicaciones/ingeniera de telecomunicaciones
responsable de diseño de telecomunicaciones
diseñadora de telecomunicaciones
responsable de ingeniería de telecomunicaciones
ingeniera de telecomunicaciones
ingeniero de telecos
diseñador de telecomunicaciones
ingeniera de telecos
ingeniero de telecomunicaciones"
profesor de alfabetización de adultos/profesora de alfabetización de adultos,"profesor de alfabetización de adultos/profesora de alfabetización de adultos
profesor de alfabetización de adultos
profesora de alfabetización de adultos"
director de calidad del calzado/directora de calidad del calzado,"director de calidad del calzado/directora de calidad del calzado
directora de control de calidad de la industria del calzado
director de control de calidad de la industria del calzado"
instalador de sistemas contra incendios por aspersión/instaladora de sistemas contra incendios por aspersión,"instalador de sistemas contra incendios por aspersión/instaladora de sistemas contra incendios por aspersión
instaladora de rociadores
instaladora de sistemas contra incendios por aspersión
instalador de rociadores
técnico de rociadores
técnica de sistemas de protección contra incendios
instalador de sistemas contra incendios por aspersión
técnica de rociadores
técnico de sistemas de protección contra incendios"
director de distribución de equipos y piezas electrónicos y de telecomunicaciones/directora de distribución de equipos electrónicos y de telecomunicaciones,"director de distribución de equipos y piezas electrónicos y de telecomunicaciones/directora de distribución de equipos electrónicos y de telecomunicaciones
director de distribución de equipos electrónicos y de telecomunicaciones
directora de distribución de equipos electrónicos y de telecomunicaciones
responsable de distribución de equipos electrónicos y de telecomunicaciones"
profesor de educación secundaria para alumnado con necesidades educativas especiales/profesora de educación secundaria para alumnado con necesidades educativas especiales,"profesor de educación secundaria para alumnado con necesidades educativas especiales/profesora de educación secundaria para alumnado con necesidades educativas especiales
profesor de educación secundaria para alumnado con necesidades educativas especiales
profesora de educación secundaria para alumnado con necesidades educativas especiales"
director de producción de espectáculos/directora de producción de espectáculos,"director de producción de espectáculos/directora de producción de espectáculos
director de producción de espectáculos
directora de producción de espectáculos"
director de producción de metales/directora de producción de metales,"director de producción de metales/directora de producción de metales
directora de producción de metales
director de producción de metales"
montador de motores aeronáuticos/montadora de motores aeronáuticos,"montador de motores aeronáuticos/montadora de motores aeronáuticos
montadora de motores de helicópteros
montador de motores aeronáuticos
montadora de motores de aviones
instalador de motores aeronáuticos
montador de motores de avionetas
instaladora de motores aeronáuticos
montador de motores de helicópteros
montadora de motores de avionetas
montador de motores de aviones
montadora de motores aeronáuticos"
ingeniero de minas especialista en canteras/ingeniera de minas especialista en canteras,"ingeniero de minas especialista en canteras/ingeniera de minas especialista en canteras
ingeniero de minas especialista en canteras
ingeniera de minas especialista en canteras"
gerente de tienda de equipos de audiología,"gerente de tienda de equipos de audiología
responsable de tienda de equipos de audiología"
vendedor especializado en ferretería y pintura/vendedora especializada en ferretería y pintura,"vendedor especializado en ferretería y pintura/vendedora especializada en ferretería y pintura
vendedor especializado en ferretería y pintura
vendedora especializada en ferretería y pintura"
maestro de educación primaria/maestra de educación primaria,"maestro de educación primaria/maestra de educación primaria
maestro de educación primaria
maestra de educación primaria
profesor de educación primaria
profesora de educación primaria"
conductor de tranvía/conductora de tranvía,"conductor de tranvía/conductora de tranvía
conductora de tranvía
conductor de tranvía"
supervisor de montaje de equipamiento de contenedores/supervisora de montaje de equipamiento de contenedores,"supervisor de montaje de equipamiento de contenedores/supervisora de montaje de equipamiento de contenedores
supervisora de líneas de producción de equipos a presión
supervisor de montaje de calderas y otros recipientes a presión
supervisor de líneas de montaje de equipos a presión
supervisor de líneas de producción de equipos a presión
supervisora de montaje de equipamiento de contenedores
supervisora de líneas de montaje de equipos a presión
operador de líneas de montaje de equipos a presión
supervisor de montaje de equipamiento de contenedores
operadora de líneas de montaje de equipos a presión
supervisora de montaje de calderas y otros recipientes a presión"
almacenero de fábrica textil/almacenera de fábrica textil,"almacenero de fábrica textil/almacenera de fábrica textil
almacenero de fábrica textil
almacenera de fábrica textil"
empleado administrativo/empleada administrativa,"empleado administrativo/empleada administrativa
técnica administrativa
empleado administrativo
empleada administrativa
asistente de dirección y administrativa
auxiliar administrativo
asistente administrativa
asistente administrativo
asistente de dirección y administrativo
auxiliar administrativa
técnico administrativo"
molendero de café/molendera de café,"molendero de café/molendera de café
encargado del funcionamiento del molino de café
operario del molino de café
encargada del funcionamiento del molino de café
responsable del funcionamiento del molino de café
operaria del molino de café"
administrativo de centro médico/administrativa de centro médico,"administrativo de centro médico/administrativa de centro médico
asistente administrativo
asistente administrativa
auxiliar de enfermería en consultorio médico
secretario de consultorio médico
administrativa de centro médico
responsable de facturación en consultorio médico
administrativo de centro médico
secretaria de consultorio médico"
administrador de seguridad de TIC/administradora de seguridad de TIC,"administrador de seguridad de TIC/administradora de seguridad de TIC
gestora de seguridad de TIC
administradora de seguridad de TICs
responsable de la administración de seguridad de TIC
gestor de seguridad de TIC
administrador de seguridad de TICs
administradora de seguridad de TIC
administrador de seguridad de TI
administrador de seguridad de TIC
administradora de seguridad de TI"
capataz de construcción,"capataz de construcción
capataz de albañilería
encargada de colocación de ladrillos y materiales cerámicos
encargado de colocación de ladrillos y materiales cerámicos
peón de reposición de ladrillos
operador de fabricación de tejas y ladrillos
peona de reposición de ladrillos
capataz de construcción
operadora de fabricación de tejas y ladrillos"
experto en física médica/experta en física médica,"experto en física médica/experta en física médica
MPE
especialista en física médica
especialista en seguridad física de radiación médica"
operador de máquinas mezcladoras de pizarra/operadora de máquinas mezcladoras de pizarra,"operador de máquinas mezcladoras de pizarra/operadora de máquinas mezcladoras de pizarra
operadora de máquinas mezcladoras de pizarra
operador de máquinas mezcladoras de pizarra"
